task,head,context_length,epoch,is_best_epoch,train_loss,val_loss,train_bal_acc,val_bal_acc,val_auroc,num_classes,n_train,n_val,n_test,n_epochs_run,training_time_min,train_accuracy,train_balanced_accuracy,train_macro_f1,train_auroc,train_recall_class0,train_recall_class1,train_recall_class2,train_recall_class3,train_recall_class4,val_accuracy,val_balanced_accuracy,val_macro_f1,val_recall_class0,val_recall_class1,val_recall_class2,val_recall_class3,val_recall_class4,test_accuracy,test_balanced_accuracy,test_macro_f1,test_auroc,test_recall_class0,test_recall_class1,test_recall_class2,test_recall_class3,test_recall_class4,is_overfit_epoch,n_overfit_epochs,batch_size,seq_len,steps_per_epoch,windows_per_subject_train,n_trainable_params,input_dim,hidden_dim,save_snapshots,snapshot_interval
age_class,lstm,10m,1,False,0.9170591778924668,0.8498060432574494,0.5383114469264308,0.5747923103847126,0.7834890050042337,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,2,False,0.8081782233769153,0.8190853460702379,0.604401652112675,0.6029347490430026,0.796602673065753,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,3,False,0.768330396207501,0.8141423357231268,0.6294292206181702,0.5931269070086745,0.806965827308057,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,4,False,0.7386645422450159,0.7932405402620655,0.650043318718806,0.6119180331711016,0.8072489400381139,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,5,False,0.7110123947649598,0.7897556805854071,0.6659429422263864,0.6114863122911096,0.8130337254077896,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,6,False,0.6829125201342675,0.7832439667495715,0.6853713799614699,0.6141431373957978,0.8165248919913372,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,7,False,0.6613176165192078,0.8058430847270972,0.6980251955619169,0.601663963662559,0.821674224512191,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,8,False,0.642609985507993,0.7878095805933244,0.7089998361309466,0.6257017894943154,0.8157153907735459,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,9,False,0.6193422387619595,0.8007929671777954,0.7235596344265502,0.6172487332968125,0.8221989109112963,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,10,False,0.5982320076337987,0.797672509954925,0.7334816166991027,0.6213118416819975,0.8170146466482618,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,11,False,0.5764744512228285,0.8113946943434255,0.7476012063974524,0.618845727102954,0.8204253215515772,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,12,False,0.5544500483594553,0.8100053863266602,0.7564473936794899,0.6263786866258859,0.8211649224423027,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,13,True,0.5326634748139422,0.8496963228031489,0.7715871569979112,0.6081449407721449,0.822271150087211,3,43413,9305,9303,23,33.571562910079955,0.7722341234192523,0.7990644426846805,0.745923725046654,0.9210084326975602,0.9218554116172168,0.68664603306409,0.7886918833727344,,,0.6465341214400859,0.6081449407721449,0.5766755033472583,0.5860696517412936,0.5109929078014185,0.7273722627737226,,,0.6511877888853058,0.6126472045663992,0.5738341006256679,0.821878245339755,0.5937161430119177,0.5138297872340426,0.7303956834532375,,,,,,,,,,,,,
age_class,lstm,10m,14,False,0.5125229149858446,0.8472818747891463,0.7804530569607379,0.6094844280435582,0.8208350545854094,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,15,False,0.4934879426472837,0.8564119945925324,0.7916271207671915,0.6182136375120825,0.8136658224633168,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,16,False,0.4715359849068464,0.924486012679156,0.802991900703819,0.6019119922981768,0.8218069762171272,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,17,False,0.4547520743233462,0.8993949914606331,0.8076250354040316,0.6090918356913471,0.8189444457532854,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,18,False,0.4357666454347203,0.9490758258831368,0.8185256962204762,0.6056616603785442,0.8171952694477826,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,19,False,0.4183519882201116,0.9558655051631608,0.8273504826962169,0.6045385808442902,0.8138360546830746,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,20,False,0.4029074133038342,0.9993212547371428,0.8359446789730779,0.595019177292602,0.8192562521399122,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,21,False,0.3888784034678665,1.0087787132760262,0.84233975638137,0.6011313276244444,0.8183476911532281,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,22,False,0.3760538758683039,1.0377394020717543,0.8468195621440565,0.5970895380734677,0.8174004386245457,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,10m,23,False,0.3636357988603151,1.0839225154548229,0.8540849468685953,0.5897748535368403,0.8174600368724142,3,43413,9305,9303,23,33.571562910079955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,40m,1,False,0.8946291844753389,0.8207006944884926,0.5403498542558735,0.5883324293271954,0.7985938421133422,3,43392,9305,9300,27,39.36803948879242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,40m,2,False,0.7891988909877508,0.797239200073439,0.6118654475711135,0.6150967286567628,0.8089561867339006,3,43392,9305,9300,27,39.36803948879242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,40m,3,False,0.7448677673804022,0.7716683800472872,0.6412469184728334,0.6193564004278448,0.8209477289739234,3,43392,9305,9300,27,39.36803948879242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_class,lstm,40m,4,False,0.7166537358521712,0.7862460376625737,0.6594464783896232,0.6322056565029076,0.8155938763347854,3,43392,9305,9300,27,39.36803948879242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
